id_anon,cluster,b05a_idade_em_meses,idade_numerica
11240039602,0,13 meses,13.0
11240039603,0,39 meses,39.0
11240039702,8,41 meses,41.0
11240040002,9,40 meses,40.0
11240040103,3,37 meses,37.0
11240044403,4,5 meses,5.0
10763010202,3,36 meses,36.0
10763011902,2,4 meses,4.0
10763011903,0,48 meses,48.0
10763014602,3,25 meses,25.0
10763026702,0,39 meses,39.0
10763026703,4,2 meses,2.0
10763034102,6,38 meses,38.0
10763045103,3,14 meses,14.0
10763046203,1,18 meses,18.0
10763056602,0,9 meses,9.0
10763060402,7,29 meses,29.0
10763060802,7,57 meses,57.0
10282001203,4,6 meses,6.0
10282018302,4,2 meses,2.0
10282018402,0,19 meses,19.0
10282019304,1,31 meses,31.0
10282028905,3,28 meses,28.0
10282028906,0,56 meses,56.0
10282040903,1,51 meses,51.0
10282042102,1,18 meses,18.0
10282047808,1,46 meses,46.0
10282053602,7,41 meses,41.0
10282055104,1,17 meses,17.0
11219002206,5,11 meses,11.0
11219007104,0,36 meses,36.0
11219007107,4,8 meses,8.0
11219009603,5,17 meses,17.0
11219031104,0,27 meses,27.0
11219031105,2,8 meses,8.0
11219034504,8,48 meses,48.0
11219034505,8,22 meses,22.0
11219035804,1,40 meses,40.0
11219040003,2,3 meses,3.0
11219040103,4,5 meses,5.0
11219042503,1,49 meses,49.0
11219045103,1,51 meses,51.0
10740006404,9,52 meses,52.0
10740006406,5,14 meses,14.0
10740017303,1,34 meses,34.0
10740017304,9,51 meses,51.0
10740024504,8,11 meses,11.0
10740024505,4,1 mês,1.0
10740026404,5,41 meses,41.0
10740044403,4,4 meses,4.0
10740050304,6,56 meses,56.0
10740056304,8,57 meses,57.0
10740057603,1,25 meses,25.0
10740059903,3,50 meses,50.0
10740059904,3,29 meses,29.0
10740061607,1,24 meses,24.0
10543000102,9,46 meses,46.0
10543001203,9,32 meses,32.0
10543002005,4,6 meses,6.0
10543003103,8,24 meses,24.0
10543003204,5,35 meses,35.0
10543007302,5,27 meses,27.0
10543008703,7,47 meses,47.0
10543010803,7,18 meses,18.0
10543011705,2,21 meses,21.0
10543012202,4,15 meses,15.0
10853001104,3,37 meses,37.0
10853001304,0,57 meses,57.0
10853004904,5,40 meses,40.0
10853006405,9,54 meses,54.0
10853006502,9,11 meses,11.0
10853008304,0,29 meses,29.0
10853011805,9,32 meses,32.0
10853012408,6,31 meses,31.0
10853014803,4,4 meses,4.0
10853014903,8,21 meses,21.0
11317001303,9,40 meses,40.0
11317001404,0,54 meses,54.0
11317002705,8,43 meses,43.0
11317002706,8,21 meses,21.0
11317004207,2,9 meses,9.0
11317010602,7,17 meses,17.0
11317012304,1,59 meses,59.0
11317012305,5,19 meses,19.0
11317013003,4,0 meses,0.0
11317013704,9,47 meses,47.0
11317013903,8,21 meses,21.0
11317018404,9,58 meses,58.0
10002000105,5,22 meses,22.0
10002000203,5,40 meses,40.0
10002009102,7,12 meses,12.0
10002013303,9,52 meses,52.0
10002014404,7,31 meses,31.0
10002015403,9,21 meses,21.0
10002015404,7,58 meses,58.0
10002015502,7,55 meses,55.0
10002020405,9,7 meses,7.0
10002022304,5,10 meses,10.0
10002023302,3,42 meses,42.0
11072001205,1,23 meses,23.0
11072003704,9,37 meses,37.0
11072003803,7,42 meses,42.0
11072005804,9,52 meses,52.0
11072005905,7,38 meses,38.0
11072007205,7,44 meses,44.0
11072008204,9,23 meses,23.0
11072009902,6,46 meses,46.0
11072013803,6,43 meses,43.0
11072015007,9,54 meses,54.0
11072015008,5,18 meses,18.0
10725010604,4,5 meses,5.0
10725013104,8,39 meses,39.0
10725016205,4,3 meses,3.0
10725020904,1,14 meses,14.0
10725022405,1,13 meses,13.0
10725030206,8,34 meses,34.0
10725032703,8,24 meses,24.0
10725035103,3,35 meses,35.0
10725035104,4,6 meses,6.0
10725037403,5,28 meses,28.0
10725038404,3,49 meses,49.0
10459007603,5,17 meses,17.0
10459010606,9,31 meses,31.0
10459011304,0,30 meses,30.0
10459012305,9,21 meses,21.0
10459012404,6,53 meses,53.0
10459014302,9,58 meses,58.0
10459016304,9,8 meses,8.0
10459017707,4,7 meses,7.0
10459024603,9,55 meses,55.0
10459026102,8,19 meses,19.0
10226004004,9,55 meses,55.0
10226047504,9,40 meses,40.0
10226048503,7,30 meses,30.0
10226050505,3,20 meses,20.0
10226057803,3,18 meses,18.0
10226066402,3,34 meses,34.0
10226067304,8,27 meses,27.0
10226070904,9,12 meses,12.0
10226070905,9,44 meses,44.0
10226075203,0,20 meses,20.0
10226075204,0,20 meses,20.0
10226076003,9,45 meses,45.0
10226076006,4,2 meses,2.0
11016006505,0,18 meses,18.0
11016015503,2,11 meses,11.0
11016017104,1,34 meses,34.0
11016026304,0,50 meses,50.0
11016026903,8,24 meses,24.0
11016026904,8,53 meses,53.0
11016030604,8,48 meses,48.0
11016043805,5,8 meses,8.0
11016045103,5,29 meses,29.0
11016045104,5,45 meses,45.0
11016055904,0,41 meses,41.0
11016056303,0,20 meses,20.0
11381000104,0,56 meses,56.0
11381000203,9,56 meses,56.0
11381000204,2,1 mês,1.0
11381000806,6,50 meses,50.0
11381002204,6,42 meses,42.0
11381003102,9,39 meses,39.0
11381004703,6,50 meses,50.0
11381006402,9,12 meses,12.0
11381013002,9,24 meses,24.0
11381015603,1,59 meses,59.0
11381020103,0,22 meses,22.0
11041001106,4,2 meses,2.0
11041001503,7,15 meses,15.0
11041001703,0,23 meses,23.0
11041009403,7,35 meses,35.0
11041011602,9,46 meses,46.0
11041013305,5,17 meses,17.0
11041015203,0,51 meses,51.0
11041015807,0,35 meses,35.0
11041018102,9,30 meses,30.0
11041019703,9,49 meses,49.0
11224010205,7,51 meses,51.0
11224015202,0,32 meses,32.0
11224024505,7,33 meses,33.0
11224024804,3,18 meses,18.0
11224025803,5,24 meses,24.0
11224032004,2,6 meses,6.0
11224032303,3,57 meses,57.0
11224032304,0,32 meses,32.0
11224034403,5,29 meses,29.0
11224035803,4,1 mês,1.0
11224037503,3,15 meses,15.0
10396001704,5,27 meses,27.0
10396006304,8,41 meses,41.0
10396006602,7,19 meses,19.0
10396009706,5,35 meses,35.0
10396009709,9,46 meses,46.0
10396010603,1,21 meses,21.0
10396011304,8,23 meses,23.0
10396013602,0,53 meses,53.0
10396014104,7,40 meses,40.0
10396021204,4,2 meses,2.0
10396023704,3,59 meses,59.0
11079005005,3,16 meses,16.0
11079010603,1,58 meses,58.0
11079010604,1,58 meses,58.0
11079011303,6,25 meses,25.0
11079013805,5,15 meses,15.0
11079013904,3,10 meses,10.0
11079014903,8,25 meses,25.0
11079018303,8,49 meses,49.0
11079023802,0,43 meses,43.0
11079023803,0,43 meses,43.0
11079029003,4,2 meses,2.0
11079031504,3,16 meses,16.0
10474015505,9,33 meses,33.0
10474039903,2,4 meses,4.0
10474042204,9,35 meses,35.0
10474045903,5,9 meses,9.0
10474048003,8,10 meses,10.0
10474054903,9,43 meses,43.0
10474056106,6,48 meses,48.0
10474056107,9,17 meses,17.0
10474056206,9,25 meses,25.0
10474065503,6,24 meses,24.0
10474072006,9,8 meses,8.0
10012003604,5,33 meses,33.0
10012003803,4,9 meses,9.0
10012004503,0,8 meses,8.0
10012007807,8,26 meses,26.0
10012012503,8,17 meses,17.0
10012019204,1,46 meses,46.0
10012027702,7,24 meses,24.0
10012031704,7,57 meses,57.0
10012033506,7,48 meses,48.0
10012033508,3,43 meses,43.0
10012034707,5,28 meses,28.0
10056003303,5,36 meses,36.0
10056005702,1,13 meses,13.0
10056007505,2,23 meses,23.0
10056011103,7,10 meses,10.0
10056013303,5,30 meses,30.0
10056020903,9,57 meses,57.0
10056020904,9,39 meses,39.0
10056022107,6,58 meses,58.0
10056022108,6,37 meses,37.0
10056022109,6,18 meses,18.0
10056022204,7,56 meses,56.0
10056027005,2,1 mês,1.0
10056028704,5,51 meses,51.0
10706004503,9,33 meses,33.0
10706005209,0,14 meses,14.0
10706005402,9,56 meses,56.0
10706006204,9,41 meses,41.0
10706007702,0,34 meses,34.0
10706009402,9,55 meses,55.0
10706010104,9,28 meses,28.0
10706011104,9,9 meses,9.0
10706013205,9,49 meses,49.0
10706018502,9,42 meses,42.0
10706018503,2,6 meses,6.0
10213004405,4,7 meses,7.0
10213008905,2,2 meses,2.0
10213009904,5,19 meses,19.0
10213012003,9,45 meses,45.0
10213012004,9,22 meses,22.0
10213018003,9,32 meses,32.0
10213021602,9,53 meses,53.0
10213029104,1,27 meses,27.0
10213030304,2,7 meses,7.0
10213039002,3,29 meses,29.0
10213047003,0,33 meses,33.0
11243024306,9,28 meses,28.0
11243026703,8,54 meses,54.0
11243026704,4,2 meses,2.0
11243027404,1,40 meses,40.0
11243037303,5,26 meses,26.0
11243055603,5,20 meses,20.0
11243066404,0,18 meses,18.0
11243070103,8,45 meses,45.0
11243071603,9,43 meses,43.0
11243079203,2,5 meses,5.0
11243085004,7,18 meses,18.0
10031000505,5,47 meses,47.0
10031000506,8,11 meses,11.0
10031009002,8,38 meses,38.0
10031039403,8,14 meses,14.0
10031044503,1,57 meses,57.0
10031044603,8,24 meses,24.0
10031044604,4,4 meses,4.0
10031048604,6,39 meses,39.0
10031065704,6,55 meses,55.0
10031067804,8,23 meses,23.0
10031081404,0,19 meses,19.0
10031082405,5,18 meses,18.0
10883006103,7,40 meses,40.0
10883011804,5,57 meses,57.0
10883013604,5,33 meses,33.0
10883023204,5,38 meses,38.0
10883023303,5,52 meses,52.0
10883026604,2,8 meses,8.0
10883026805,5,58 meses,58.0
10883027603,6,52 meses,52.0
10883037807,1,36 meses,36.0
10883041503,4,6 meses,6.0
10883041504,3,16 meses,16.0
10278005403,7,20 meses,20.0
10278008105,6,32 meses,32.0
10278013903,6,40 meses,40.0
10278014104,5,8 meses,8.0
10278014402,3,59 meses,59.0
10278016202,6,56 meses,56.0
10278017703,2,12 meses,12.0
10278018603,2,5 meses,5.0
10278019502,6,59 meses,59.0
10278021603,5,21 meses,21.0
10882002504,9,32 meses,32.0
10882002506,9,51 meses,51.0
10882011506,9,15 meses,15.0
10882016703,0,59 meses,59.0
10882037403,5,22 meses,22.0
10882037504,5,11 meses,11.0
10882038504,5,41 meses,41.0
10882039504,8,10 meses,10.0
10882040103,5,19 meses,19.0
10882041802,5,9 meses,9.0
10882043005,9,31 meses,31.0
10882043006,4,4 meses,4.0
11141001002,8,41 meses,41.0
11141029604,7,37 meses,37.0
11141040203,7,34 meses,34.0
11141040204,2,5 meses,5.0
11141041402,0,42 meses,42.0
11141044107,0,37 meses,37.0
11141044204,5,52 meses,52.0
11141047106,9,47 meses,47.0
11141047204,1,45 meses,45.0
11141048103,3,46 meses,46.0
11141048105,8,14 meses,14.0
11141049104,9,52 meses,52.0
11290003104,8,30 meses,30.0
11290006802,9,38 meses,38.0
11290025002,1,55 meses,55.0
11290025503,1,59 meses,59.0
11290025504,1,41 meses,41.0
11290027602,6,12 meses,12.0
11290027704,6,25 meses,25.0
11290034305,4,4 meses,4.0
11290038105,1,56 meses,56.0
11290040904,1,48 meses,48.0
11290047804,5,5 meses,5.0
10672001004,8,36 meses,36.0
10672003602,9,33 meses,33.0
10672003702,9,57 meses,57.0
10672003703,8,30 meses,30.0
10672004704,5,53 meses,53.0
10672007803,8,20 meses,20.0
10672007904,2,3 meses,3.0
10672013904,5,38 meses,38.0
10672025103,2,1 mês,1.0
10672032002,1,51 meses,51.0
10672032102,8,39 meses,39.0
11173002004,6,49 meses,49.0
11173011705,9,38 meses,38.0
11173013803,9,37 meses,37.0
11173013804,1,10 meses,10.0
11173018102,3,24 meses,24.0
11173028504,8,12 meses,12.0
11173031804,9,14 meses,14.0
11173041604,8,40 meses,40.0
11173043806,5,18 meses,18.0
11173048104,8,22 meses,22.0
11173048105,8,43 meses,43.0
11173050403,8,37 meses,37.0
10506000104,4,0 meses,0.0
10506000203,0,21 meses,21.0
10506009604,5,36 meses,36.0
10506012804,1,9 meses,9.0
10506029803,1,41 meses,41.0
10506031403,2,6 meses,6.0
10506032604,1,58 meses,58.0
10506033503,5,30 meses,30.0
10506033504,5,35 meses,35.0
10506035602,6,27 meses,27.0
10506036404,7,36 meses,36.0
10130007002,5,13 meses,13.0
10130007203,5,20 meses,20.0
10130007503,2,13 meses,13.0
10130008605,2,2 meses,2.0
10130019502,8,11 meses,11.0
10130019603,0,29 meses,29.0
10130019702,8,30 meses,30.0
10130021803,8,47 meses,47.0
10130025204,7,48 meses,48.0
10130026704,5,38 meses,38.0
10045013304,6,36 meses,36.0
10045034203,0,55 meses,55.0
10045037405,9,11 meses,11.0
10045038504,3,26 meses,26.0
10045041303,8,30 meses,30.0
10045042404,7,22 meses,22.0
10045045503,2,12 meses,12.0
10045052104,7,40 meses,40.0
10045057204,4,1 mês,1.0
10045058603,9,27 meses,27.0
10815025704,3,25 meses,25.0
10815028004,1,44 meses,44.0
10815036203,2,5 meses,5.0
10815038204,9,47 meses,47.0
10815038205,4,1 mês,1.0
10815064803,8,51 meses,51.0
10815069704,2,3 meses,3.0
10815070503,2,1 mês,1.0
10815073904,8,22 meses,22.0
10815073905,1,44 meses,44.0
10815090405,1,24 meses,24.0
10815094703,2,4 meses,4.0
10817001203,6,32 meses,32.0
10817011605,5,21 meses,21.0
10817012804,8,24 meses,24.0
10817012805,6,45 meses,45.0
10817015702,2,3 meses,3.0
10817023502,3,43 meses,43.0
10817027503,6,20 meses,20.0
10817032302,4,0 meses,0.0
10817039402,5,9 meses,9.0
10817053103,4,3 meses,3.0
10817054003,2,2 meses,2.0
10417004703,5,10 meses,10.0
10417005603,0,19 meses,19.0
10417006404,4,5 meses,5.0
10417008203,1,21 meses,21.0
10417008204,8,58 meses,58.0
10417012402,5,24 meses,24.0
10417012504,8,14 meses,14.0
10417014803,4,1 mês,1.0
10417019204,5,52 meses,52.0
10417032102,8,23 meses,23.0
10417034903,1,29 meses,29.0
10104004703,5,11 meses,11.0
10104032603,5,30 meses,30.0
10104032604,2,4 meses,4.0
10104033904,6,30 meses,30.0
10104035203,8,20 meses,20.0
10104036411,5,16 meses,16.0
10104037603,4,1 mês,1.0
10104040502,9,53 meses,53.0
10104040603,9,54 meses,54.0
10104041703,2,5 meses,5.0
10104044404,0,52 meses,52.0
11357008804,1,39 meses,39.0
11357009803,9,56 meses,56.0
11357010904,1,30 meses,30.0
11357019002,2,4 meses,4.0
11357021604,5,39 meses,39.0
11357036603,9,55 meses,55.0
11357040103,6,33 meses,33.0
11357041504,9,40 meses,40.0
11357043603,1,54 meses,54.0
11357044804,4,2 meses,2.0
11296018803,8,28 meses,28.0
11296025604,8,33 meses,33.0
11296029003,6,35 meses,35.0
11296046705,9,16 meses,16.0
11296049102,1,49 meses,49.0
11296049505,7,9 meses,9.0
11296051403,8,40 meses,40.0
11296053803,5,51 meses,51.0
11296055403,8,18 meses,18.0
11296056908,8,45 meses,45.0
10609001105,2,11 meses,11.0
10609011503,5,16 meses,16.0
10609017603,7,9 meses,9.0
10609021203,1,24 meses,24.0
10609031404,2,6 meses,6.0
10609032402,8,42 meses,42.0
10609033803,9,40 meses,40.0
10609047506,2,0 meses,0.0
10609047507,2,1 mês,1.0
10609051402,8,41 meses,41.0
10609051705,9,35 meses,35.0
10237001703,5,16 meses,16.0
10237002706,7,37 meses,37.0
10237008303,5,23 meses,23.0
10237015006,8,28 meses,28.0
10237019604,7,42 meses,42.0
10237039003,1,57 meses,57.0
10237039004,1,44 meses,44.0
10237039103,2,10 meses,10.0
10237039202,6,52 meses,52.0
10237041703,1,26 meses,26.0
10237041704,1,15 meses,15.0
10237045706,4,5 meses,5.0
10220020106,3,53 meses,53.0
10220022602,3,34 meses,34.0
10220040802,8,28 meses,28.0
10220042604,0,21 meses,21.0
10220047402,4,2 meses,2.0
10220050802,8,38 meses,38.0
10220068305,9,36 meses,36.0
10220068903,8,42 meses,42.0
10220072102,8,18 meses,18.0
10220072103,8,46 meses,46.0
10220076202,6,47 meses,47.0
10267079205,4,3 meses,3.0
10267098104,7,20 meses,20.0
10267099103,8,26 meses,26.0
10267110204,0,29 meses,29.0
10267113705,9,52 meses,52.0
10267113803,8,56 meses,56.0
10267114405,2,16 meses,16.0
10267121503,2,7 meses,7.0
10267122603,5,42 meses,42.0
10267131503,1,33 meses,33.0
11172034203,5,46 meses,46.0
11172035103,5,33 meses,33.0
11172041203,2,6 meses,6.0
11172042304,5,30 meses,30.0
11172044303,2,45 meses,45.0
11172044404,0,31 meses,31.0
11172048503,1,29 meses,29.0
11172048504,1,14 meses,14.0
11172049502,5,14 meses,14.0
11172054806,5,51 meses,51.0
11172054807,4,3 meses,3.0
11172055906,2,10 meses,10.0
10485000605,9,15 meses,15.0
10485001904,9,40 meses,40.0
10485005102,5,13 meses,13.0
10485010704,1,16 meses,16.0
10485018004,9,39 meses,39.0
10485021004,8,25 meses,25.0
10485021305,3,59 meses,59.0
10485021605,1,47 meses,47.0
10485022603,2,3 meses,3.0
10485022604,9,27 meses,27.0
10485024404,5,16 meses,16.0
10021003704,2,5 meses,5.0
10021006303,5,12 meses,12.0
10021011402,8,21 meses,21.0
10021018903,8,31 meses,31.0
10021019003,8,33 meses,33.0
10021022004,8,35 meses,35.0
10021027504,0,42 meses,42.0
10021038006,2,5 meses,5.0
10021041006,8,16 meses,16.0
10021044104,1,15 meses,15.0
11312005903,8,55 meses,55.0
11312009605,2,54 meses,54.0
11312009606,8,17 meses,17.0
11312012704,9,8 meses,8.0
11312016204,2,41 meses,41.0
11312029204,6,45 meses,45.0
11312048303,0,22 meses,22.0
11312049304,8,19 meses,19.0
11312053705,2,22 meses,22.0
11312057003,2,3 meses,3.0
11312057903,8,59 meses,59.0
11211017404,8,33 meses,33.0
11211017702,0,20 meses,20.0
11211018904,2,23 meses,23.0
11211052904,9,42 meses,42.0
11211054504,9,11 meses,11.0
11211056305,2,5 meses,5.0
11211057005,5,47 meses,47.0
11211057304,8,51 meses,51.0
11211059405,8,12 meses,12.0
11211067706,2,11 meses,11.0
11211067707,4,4 meses,4.0
11131000803,1,11 meses,11.0
11131001202,2,1 mês,1.0
11131003708,4,0 meses,0.0
11131004603,5,31 meses,31.0
11131016504,8,33 meses,33.0
11131027503,1,42 meses,42.0
11131027504,7,18 meses,18.0
11131028503,9,43 meses,43.0
11131028504,4,2 meses,2.0
11131028604,5,34 meses,34.0
11131030707,4,5 meses,5.0
11131032303,8,32 meses,32.0
11131032304,8,52 meses,52.0
10524001004,1,54 meses,54.0
10524002004,0,33 meses,33.0
10524004804,6,47 meses,47.0
10524005004,1,56 meses,56.0
10524005005,4,1 mês,1.0
10524016704,6,26 meses,26.0
10524017903,0,53 meses,53.0
10524020703,5,41 meses,41.0
10524028504,7,13 meses,13.0
10524029507,6,49 meses,49.0
10524029508,6,21 meses,21.0
10524029509,4,0 meses,0.0
10524029603,2,5 meses,5.0
10650002503,4,4 meses,4.0
10650009903,3,38 meses,38.0
10650013104,6,7 meses,7.0
10650020304,7,48 meses,48.0
10650024204,8,34 meses,34.0
10650024205,8,17 meses,17.0
10650024303,9,24 meses,24.0
10650024304,2,5 meses,5.0
10650027403,4,0 meses,0.0
10650030206,9,53 meses,53.0
10650030207,4,2 meses,2.0
10650032505,7,59 meses,59.0
10650034110,4,3 meses,3.0
10107001907,6,49 meses,49.0
10107001908,6,49 meses,49.0
10107003707,4,1 mês,1.0
10107004905,6,50 meses,50.0
10107004906,6,29 meses,29.0
10107004907,4,2 meses,2.0
10107013207,4,5 meses,5.0
10107017005,8,35 meses,35.0
10107017705,3,21 meses,21.0
10107018507,9,59 meses,59.0
10107021503,9,38 meses,38.0
10107022403,2,10 meses,10.0
10107022503,9,51 meses,51.0
10107028105,6,40 meses,40.0
10107028106,4,3 meses,3.0
10349027003,2,23 meses,23.0
10349033403,8,45 meses,45.0
10349033404,9,6 meses,6.0
10349035604,5,46 meses,46.0
10349040303,8,17 meses,17.0
10349040304,4,3 meses,3.0
10349040404,0,52 meses,52.0
10349041402,7,45 meses,45.0
10349042904,3,15 meses,15.0
10349043205,1,37 meses,37.0
10349043706,2,5 meses,5.0
10349046404,9,32 meses,32.0
11366000105,8,25 meses,25.0
11366005503,4,13 meses,13.0
11366005803,8,30 meses,30.0
11366008005,3,25 meses,25.0
11366008106,0,13 meses,13.0
11366025205,1,47 meses,47.0
11366025303,4,3 meses,3.0
11366027407,2,13 meses,13.0
11366032304,9,49 meses,49.0
11366032404,1,47 meses,47.0
10584025906,3,50 meses,50.0
10584026303,4,1 mês,1.0
10584026404,5,40 meses,40.0
10584028003,1,28 meses,28.0
10584028004,4,4 meses,4.0
10584028102,3,56 meses,56.0
10584028703,1,57 meses,57.0
10584032203,8,29 meses,29.0
10584033203,1,51 meses,51.0
10584039806,2,5 meses,5.0
10584040406,8,29 meses,29.0
10798003603,9,23 meses,23.0
10798007705,8,59 meses,59.0
10798015005,9,39 meses,39.0
10798015006,9,25 meses,25.0
10798015007,4,0 meses,0.0
10798027204,4,0 meses,0.0
10798032403,9,43 meses,43.0
10798032804,9,59 meses,59.0
10798035603,8,9 meses,9.0
10798038406,9,45 meses,45.0
10798038407,9,22 meses,22.0
10798039504,8,25 meses,25.0
10798042503,9,52 meses,52.0
10910021304,6,43 meses,43.0
10910023305,6,58 meses,58.0
10910025806,1,52 meses,52.0
10910025807,6,8 meses,8.0
10910027404,0,27 meses,27.0
10910031603,6,34 meses,34.0
10910031804,1,47 meses,47.0
10910032803,6,56 meses,56.0
10910032804,6,37 meses,37.0
10910036003,6,44 meses,44.0
10910036004,4,0 meses,0.0
10910039102,7,58 meses,58.0
10910039903,6,44 meses,44.0
10910039904,6,18 meses,18.0
11361008004,1,36 meses,36.0
11361010105,4,4 meses,4.0
11361010203,4,3 meses,3.0
11361018203,9,26 meses,26.0
11361026806,6,51 meses,51.0
11361026903,9,22 meses,22.0
11361030205,9,43 meses,43.0
11361030206,9,9 meses,9.0
11361030304,1,40 meses,40.0
11361031903,2,13 meses,13.0
11361032103,6,11 meses,11.0
10426000505,1,37 meses,37.0
10426000703,4,18 meses,18.0
10426004804,6,41 meses,41.0
10426039305,6,19 meses,19.0
10426039506,6,26 meses,26.0
10426045703,4,1 mês,1.0
10426046806,6,58 meses,58.0
10426050304,2,49 meses,49.0
10426050305,8,28 meses,28.0
10426050306,4,1 mês,1.0
10426062304,6,59 meses,59.0
10426062305,6,31 meses,31.0
10426062504,5,55 meses,55.0
11170030905,3,45 meses,45.0
11170030906,8,11 meses,11.0
11170031705,8,14 meses,14.0
11170032705,8,17 meses,17.0
11170034504,8,38 meses,38.0
11170035502,8,23 meses,23.0
11170039104,6,23 meses,23.0
11170039203,8,58 meses,58.0
11170041105,4,1 mês,1.0
11170042303,3,8 meses,8.0
11170043306,8,27 meses,27.0
10102042204,7,45 meses,45.0
10102042205,4,16 meses,16.0
10102044203,1,22 meses,22.0
10102044902,0,13 meses,13.0
10102051604,1,54 meses,54.0
